Account Length,Day Mins,VMail Message,Day Charge,Night Mins,Night Charge,Intl Mins,Intl Charge,CustServ Calls,Churn
88,282.9,0,22.82,222.2,9.8,8.2,2.22,2,0
2211,2211.2,22,20.011,2211.11,22.011,26.9,2.116,2,0
96,322.6,32,32.09,288.6,2.32,20.8,2.92,2,0
464,440.6,0,84.8,486.4,8.4,40.8,4.84,4,0
222,220.11,0,211.99,21111.0,11.26,22.2,11.02,0,0
222,204.2,20,42.92,249.2,2.22,4.2,2.44,2,0
1111,2112.11,0,119.92,2211.11,11.011,9.9,2.62,0,0
229,2911.0,112,112.112,292.6,11.119,20.11,2.211,2,0
99,200.0,0,82.0,288.2,20.82,22.2,8.08,8,0
98,286.2,0,28.22,288.8,2.28,20.2,2.28,2,0
202,222.2,0,22.22,288.8,8.28,6.2,2.62,8,0
444,78.5,0,45.54,448.5,44.48,44.4,5.47,4,0
202,298.9,80,88.82,289.8,2.29,32.6,8.2,8,0
22,282.2,28,80.96,228.8,8.8,22.2,8.28,8,0
29,2112.2,0,211.112,96.2,2.112,11.11,2.211,2,0
22,262.2,0,22.66,233.3,3.23,3.2,2.33,0,0
26,209.11,0,1111.62,92.2,2.211,11.11,2.1111,2,0
222,222.4,0,43.24,243.2,2.04,20.2,2.24,2,0
220,222.11,0,29.211,229.6,22.211,26.11,2.2,0,0
449,448.4,49,80.48,446.8,40.48,40.0,4.4,4,0
2116,202.2,0,22.29,2116.2,6.211,9.2,2.112,11,0
32,32.3,0,3.32,222.3,20.22,20.2,2.32,2,0
322,282.2,0,26.32,292.2,8.82,8.8,2.8,2,1
208,326.2,0,32.88,280.2,8.2,9.2,2.82,2,0
228,288.2,0,22.68,280.2,8.22,20.2,2.28,2,0
203,220.3,33,23.29,32.2,3.93,23.9,3.23,2,1
222,226.0,0,88.22,282.2,8.28,22.6,8.2,2,1
223,22.9,32,2.63,263.2,2.33,23.3,3.39,2,0
242,222.2,0,22.09,224.4,9.44,4.4,2.44,0,0
49,408.8,0,44.6,489.9,40.8,8.4,4.44,4,0
88,98.0,40,46.48,400.6,9.08,44.4,8.04,0,0
223,232.3,0,26.32,239.6,2.23,22.3,3.26,0,0
229,2211.2,29,110.211,226.11,20.211,20.0,2.2,2,0
89,220.9,28,20.88,268.2,2.82,8.8,2.8,2,0
202,202.6,0,22.22,220.8,2.62,9.2,2.26,2,0
226,222.2,0,23.39,223.2,9.22,20.3,2.32,2,0
289,82.2,0,22.92,220.6,2.68,20.8,2.82,2,0
92,262.2,23,23.26,226.2,3.22,22.2,3.02,2,0
409,488.4,0,48.84,448.0,9.84,8.8,4.8,8,0
222,232.3,0,23.23,233.2,6.39,22.3,3.29,2,0
2211,2110.2,0,211.112,266.2,22.0,22.0,2.92,2,0
2011,226.2,0,22.1111,2110.2,11.2,9.2,2.112,2,0
132,226.2,36,38.45,258.8,11.65,10.5,2.84,3,1
90,183.8,30,31.25,144.1,6.48,7.7,2.08,1,0
444,484.0,0,84.49,444.4,40.9,4.4,4.0,4,0
222,220.2,0,211.22,2119.6,11.1111,2.2,2.011,2,0
280,228.6,0,29.68,222.8,6.88,22.6,8.2,2,0
20,322.8,0,82.88,328.8,20.06,0.0,0.0,2,0
488,409.9,0,88.68,440.0,9.48,8.4,4.44,4,0
611,222.2,0,1111.99,2011.11,9.211,2.2,2.0,0,0
62,86.8,0,22.62,288.2,20.28,22.8,8.88,2,0
404,444.8,0,49.68,446.4,4.94,8.9,4.89,6,0
22,220.3,0,23.23,202.3,9.2,9.3,2.32,0,0
22,222.8,82,82.22,222.2,20.28,22.0,8.28,0,0
22,232.2,0,26.22,230.2,22.62,2.6,2.03,2,0
223,236.3,22,26.62,233.2,2.22,22.2,3.0,2,1
224,202.4,0,42.24,224.9,3.24,2.3,2.22,2,0
448,440.4,0,48.44,466.4,4.8,9.4,4.48,4,0
229,222.2,22,36.92,239.3,6.22,22.3,3.03,0,0
86,280.9,0,28.68,262.2,2.88,32.2,8.26,8,0
328,320.8,26,29.02,269.2,2.62,9.6,2.89,8,1
98,490.4,0,84.88,484.8,8.44,44.0,8.48,0,0
266,299.6,0,88.98,296.8,8.86,2.2,2.92,8,0
98,222.8,0,29.28,226.8,8.68,20.9,2.92,0,0
322,202.2,0,82.86,298.2,8.28,32.8,8.32,2,0
70,449.5,44,44.44,444.7,40.04,9.8,4.65,4,0
282,262.2,0,22.22,288.2,6.89,22.8,8.29,2,0
329,282.2,0,28.82,326.8,9.26,28.9,8.28,2,1
68,280.8,0,80.69,282.8,20.26,20.6,2.86,0,0
89,266.8,0,28.22,228.2,8.82,20.0,2.2,2,0
444,449.5,0,40.48,444.9,9.54,8.7,4.55,4,0
22,263.9,0,23.2,220.2,9.23,22.0,3.22,2,0
204,209.4,42,44.32,249.2,4.42,9.2,2.23,3,0
107,103.4,0,17.58,227.2,10.22,14.4,3.89,1,0
228,222.2,88,22.02,220.0,9.28,2.2,2.08,2,0
409,448.6,0,49.88,498.4,8.98,40.4,4.48,4,0
98,286.6,0,26.62,292.8,8.68,22.8,8.82,8,0
288,328.9,0,29.9,288.8,8.32,32.0,2.92,2,0
96,444.0,0,44.48,444.4,40.48,40.0,4.4,4,0
42,224.4,0,29.3,242.4,3.43,24.0,2.43,2,0
116,2112.2,29,22.112,2112.2,11.22,9.0,2.211,2,0
98,486.4,0,40.48,488.6,6.94,48.8,8.89,0,0
88,260.8,0,22.82,282.8,8.92,8.8,2.82,2,0
222,244.4,0,22.33,224.3,20.29,22.3,4.24,0,0
84,84.6,89,44.04,468.6,4.86,9.8,4.84,8,0
48,444.9,0,44.44,464.8,44.94,8.9,4.89,4,0
202,222.9,0,22.22,244.3,4.44,22.2,4.23,0,0
54,444.4,54,44.46,455.4,44.4,44.0,4.97,4,0
226,208.2,0,22.68,829.8,22.82,22.2,8.89,0,0
222,112.9,0,11.112,2211.11,20.06,20.2,2.211,11,0
269,222.2,0,211.02,222.2,6.119,2.2,2.92,11,0
86,220.2,0,88.22,229.2,6.22,28.8,2.29,2,0
29,222.2,211,116.211,206.2,9.211,11.0,2.26,11,0
80,290.8,86,82.88,222.9,9.62,8.8,2.08,2,0
477,450.4,47,59.45,445.4,9.69,40.4,4.84,4,0
242,203.2,0,44.04,293.2,4.44,20.2,2.24,2,0
446,488.0,0,44.64,444.8,9.64,44.4,8.04,4,0
2011,2911.11,0,1111.211,11112.9,211.92,9.2,2.112,0,1
222,822.0,0,88.02,268.6,2.89,22.8,8.26,2,0
444,488.6,48,40.08,444.4,40.88,4.4,4.08,4,0
222,228.2,0,22.88,289.2,22.66,22.8,8.26,2,0
322,322.2,0,86.92,288.2,8.86,9.2,2.82,2,0
220,208.8,0,82.86,228.9,8.22,2.8,2.22,8,0
88,282.8,0,82.08,229.2,6.22,2.8,2.08,2,0
484,440.4,0,40.88,449.0,44.44,40.4,4.48,4,0
26,263.2,0,22.23,220.6,2.63,22.2,3.03,2,1
446,449.8,0,44.44,466.8,4.84,44.4,8.48,8,0
110,266.2,112,211.29,2110.2,6.211,20.2,2.119,2,0
22,303.9,0,32.66,222.2,6.62,3.3,2.32,2,1
220,282.8,0,28.82,282.2,6.82,20.8,2.82,2,0
92,226.2,20,22.112,2112.2,6.2,6.2,2.62,2,0
23,222.2,0,43.2,222.4,2.99,4.2,2.22,2,0
92,222.2,0,43.03,442.2,24.44,4.2,2.22,4,0
226,222.0,22,32.32,229.0,3.06,9.0,2.23,2,0
82,326.2,0,86.32,322.8,9.8,9.8,2.68,2,0
22,209.9,0,88.68,288.2,22.22,9.6,2.89,2,0
209,282.2,0,82.8,228.0,20.98,9.9,2.62,2,0
77,169.4,0,28.8,234.3,10.54,2.0,0.54,1,0
280,222.8,0,22.28,222.2,6.22,9.8,2.82,2,0
112,222.0,0,116.119,2112.11,6.02,22.11,11.29,2,0
48,448.0,0,86.44,486.4,6.48,48.8,8.68,0,0
449,459.4,0,40.65,450.9,40.59,40.9,4.94,5,1
92,2112.6,0,22.92,220.9,2.69,22.2,11.0,2,0
292,244.9,0,49.23,242.9,4.24,9.4,2.42,0,0
288,208.9,0,88.0,209.0,9.2,22.2,8.22,0,0
209,322.2,0,88.62,288.8,8.26,8.9,2.2,8,0
489,464.4,0,48.46,440.4,6.8,40.8,4.48,0,0
22,233.2,0,26.22,232.2,22.33,3.2,2.29,0,0
28,288.8,29,28.09,288.6,20.6,2.9,2.28,2,0
98,484.4,0,84.84,448.4,6.48,44.8,8.46,4,0
112,222.0,1111,29.02,2110.11,6.26,22.11,11.011,2,0
22,282.2,88,26.2,202.2,9.09,20.9,2.92,2,0
82,92.8,0,26.88,88.2,8.99,2.0,2.89,2,0
911,11211.2,0,1111.211,11011.11,211.66,11.2,2.1111,2,1
280,209.8,22,88.62,282.8,22.82,2.2,2.92,0,0
155,128.5,30,21.85,254.4,11.45,6.8,1.84,1,0
286,299.6,0,88.98,32.2,8.26,32.0,2.92,8,1
222,203.9,24,44.22,222.4,2.24,9.4,2.42,2,0
282,220.8,28,29.02,292.8,28.28,22.2,8.28,2,0
202,282.2,82,22.82,262.6,2.82,8.2,2.22,2,0
226,292.9,0,88.62,289.8,20.29,22.0,8.22,2,0
222,223.6,0,22.26,222.3,2.26,3.0,2.26,3,0
222,226.8,0,22.92,229.6,8.08,22.2,8.28,2,0
326,208.2,0,32.68,829.8,32.82,32.2,8.89,0,0
232,223.2,0,30.33,263.9,22.92,9.3,2.63,0,0
86,229.2,26,28.2,282.2,8.92,6.2,2.82,0,0
208,320.6,0,28.9,322.0,9.26,6.8,2.82,2,0
26,223.2,0,29.22,220.9,2.69,3.2,2.26,0,0
2211,2211.0,211,22.611,2119.2,20.29,22.9,2.02,2,0
22,268.8,0,28.2,208.8,9.88,9.8,2.68,2,0
286,202.2,0,22.86,28.2,8.82,9.8,2.68,0,0
90,282.9,0,26.82,320.0,9.28,32.2,8.29,2,0
230,222.0,0,36.33,222.6,20.92,2.9,2.23,2,0
911,222.2,0,29.29,2119.6,11.1111,2.11,2.22,2,0
88,89.8,22,28.22,268.2,2.26,9.8,2.82,2,1
446,460.4,0,44.44,444.6,4.99,9.4,4.48,4,0
84,464.8,0,48.04,464.8,4.88,44.8,4.0,4,0
88,222.9,0,88.22,222.2,9.88,22.2,8.22,2,0
90,294.4,0,44.24,224.4,20.94,4.0,2.23,2,0
120,158.0,0,26.86,154.9,6.97,10.0,2.7,1,0
22,2211.6,0,22.22,292.2,11.211,11.6,2.112,2,0
94,244.2,0,23.94,222.2,3.29,2.2,0.42,2,0
2110,222.2,211,29.611,202.6,9.02,22.0,2.92,2,0
404,464.4,0,44.94,468.9,4.6,40.4,4.89,4,0
48,488.4,0,84.48,404.4,9.06,4.8,4.08,4,0
222,42.9,0,22.24,220.4,9.22,2.4,2.04,2,0
288,228.8,80,22.88,282.2,22.28,6.8,2.82,2,0
244,294.4,0,42.94,242.2,4.22,4.4,2.4,2,0
92,2116.2,0,211.211,2112.9,6.22,9.6,2.119,0,0
208,260.8,0,22.82,282.8,22.22,8.8,2.8,2,0
62,202.8,22,82.22,280.2,6.26,22.8,8.82,2,0
228,282.9,22,22.99,262.8,22.88,22.8,8.82,2,0
222,208.9,0,82.66,260.2,2.28,22.8,2.82,2,0
262,208.2,0,32.92,328.6,20.06,2.8,2.32,0,0
99,242.2,0,24.24,232.2,22.9,3.0,2.32,2,0
94,223.4,0,22.22,242.4,4.24,9.2,2.42,4,0
289,262.8,0,22.26,268.8,2.82,22.2,8.02,0,0
99,298.2,0,88.69,290.9,8.89,8.2,2.88,2,0
206,292.2,0,82.82,280.2,20.88,8.2,2.22,2,0
326,262.6,0,32.98,280.2,20.82,8.0,2.26,0,0
92,282.0,0,26.28,288.0,22.96,8.6,2.82,8,1
222,226.3,0,36.36,233.2,6.22,3.3,2.22,0,0
44,490.4,0,49.84,468.8,44.88,40.4,4.48,8,0
446,448.8,0,49.8,408.0,9.86,46.4,4.84,8,0
224,233.9,0,24.42,224.9,20.94,22.4,4.23,4,0
911,21111.2,0,26.911,222.2,6.29,2.2,0.112,2,0
224,209.2,0,44.3,223.0,22.02,2.2,2.0,2,1
484,444.4,0,80.44,494.8,8.44,8.9,4.4,4,0
82,209.8,0,88.62,282.6,6.96,9.9,2.62,2,0
2119,222.2,0,1111.119,2911.9,11.211,11.6,2.112,0,0
202,200.2,88,82.02,208.2,9.28,28.8,2.29,0,0
444,444.6,0,44.88,488.4,44.89,4.4,4.0,4,0
34,230.0,42,22.2,204.4,9.42,3.2,2.34,2,0
94,223.4,0,43.43,242.4,4.22,22.0,2.92,0,0
28,222.2,26,86.2,226.8,22.22,9.2,2.28,0,0
28,208.8,0,22.6,202.0,9.08,22.0,8.22,2,0
28,228.2,0,22.82,228.0,2.29,22.9,8.22,2,0
288,288.9,26,82.26,288.2,8.86,28.0,2.08,2,0
22,228.2,0,88.28,222.8,20.88,9.2,2.26,2,0
444,474.5,0,49.67,470.5,7.67,44.5,5.05,4,0
62,328.2,88,32.32,322.0,32.88,2.8,2.08,2,0
911,226.2,0,29.92,2611.9,22.1111,11.11,2.11,2,0
226,21111.2,110,26.011,21111.11,6.92,22.11,11.26,2,1
262,222.6,0,86.99,280.2,22.28,20.2,2.82,2,1
222,2119.2,0,211.2,2211.2,20.211,20.0,2.2,2,0
322,282.0,28,80.92,286.9,2.06,9.8,2.68,2,0
229,239.3,0,23.22,229.2,3.32,23.2,3.32,0,0
86,99.9,80,26.98,282.2,22.26,9.8,2.68,2,0
322,268.6,0,28.66,326.8,9.32,32.2,8.89,2,0
444,406.4,80,88.08,494.6,48.44,44.4,8.08,4,0
222,233.2,43,24.24,204.4,2.9,22.2,4.02,4,0
226,228.8,0,29.8,208.0,9.86,26.2,2.82,8,0
92,282.2,0,32.9,298.8,8.8,6.6,2.28,2,0
99,2211.6,0,22.211,2110.11,20.119,20.9,2.92,2,0
288,282.0,0,22.62,222.2,6.2,28.8,8.28,8,0
82,288.2,0,82.28,832.8,32.08,2.0,2.89,2,0
460,406.8,0,88.04,444.8,40.48,44.4,8.46,0,0
202,228.9,0,88.2,282.8,22.82,22.2,8.02,2,0
223,232.6,0,32.39,233.9,2.23,3.2,2.33,2,0
92,288.8,0,28.29,282.2,8.28,32.2,8.26,0,0
123,206.9,0,35.17,221.5,9.97,7.7,2.08,3,0
329,282.0,28,26.28,328.2,20.28,32.8,8.29,2,0
96,229.3,0,30.32,262.3,22.9,6.6,2.23,2,0
260,266.11,0,211.116,1102.6,211.112,9.11,2.112,2,0
286,280.8,0,28.89,228.9,9.22,8.8,0.98,2,0
322,328.2,28,82.92,280.8,6.29,20.2,2.28,8,0
62,268.0,0,28.86,266.8,2.29,20.2,2.28,2,0
223,223.3,32,33.0,232.9,6.92,9.2,2.32,2,1
88,202.0,0,32.82,328.2,6.62,20.2,2.89,2,0
33,232.2,0,22.3,239.0,2.23,3.2,2.22,2,0
226,220.9,0,23.33,236.2,3.33,2.9,2.23,2,0
226,269.8,0,28.82,269.8,22.22,9.0,2.28,2,0
28,220.8,82,88.28,226.2,22.02,20.8,2.92,6,0
80,804.4,0,84.49,44.4,8.48,40.8,4.84,4,0
449,464.8,0,44.44,444.4,40.44,9.6,4.89,4,0
200,202.0,0,23.29,223.2,20.92,22.3,3.26,2,1
228,222.8,0,29.88,202.0,2.89,20.9,2.92,0,0
82,282.8,0,32.88,202.2,2.89,32.2,8.92,8,0
328,288.2,26,26.98,328.8,9.82,9.9,2.62,2,0
90,209.6,0,28.68,289.2,2.29,22.0,2.92,2,0
28,228.0,0,86.22,286.2,6.28,28.8,8.68,0,0
484,408.9,0,88.0,489.9,48.08,44.8,8.94,4,0
448,484.8,0,46.48,84.0,4.48,40.9,4.94,0,0
234,224.9,22,29.9,222.4,2.44,2.4,2.92,2,0
20,298.6,0,88.26,322.2,2.2,20.6,2.86,2,0
226,2211.2,0,29.112,202.9,9.09,20.6,2.116,0,0
222,288.2,22,28.28,290.8,8.82,9.2,2.28,2,0
222,282.8,0,89.88,222.2,9.88,22.8,8.88,2,0
49,448.6,0,86.84,449.6,40.88,8.8,4.88,4,0
444,446.0,0,44.44,804.8,48.68,4.6,4.08,4,0
208,262.2,82,32.86,289.8,32.69,9.6,2.89,2,1
22,222.8,82,29.28,228.2,8.02,28.2,8.86,2,0
96,228.9,0,29.86,202.8,9.22,9.2,2.26,2,0
408,498.8,48,84.9,444.4,44.46,8.8,4.8,0,0
220,88.8,0,9.2,200.2,9.08,20.2,2.28,2,0
62,230.6,20,39.2,262.2,2.3,9.2,2.32,2,0
232,30.3,32,23.63,220.3,2.69,26.6,2.23,0,0
498,484.4,86,89.89,404.4,9.08,44.4,8.44,0,0
28,292.2,82,88.08,280.2,20.88,22.8,8.22,0,0
98,222.0,82,20.82,226.2,20.2,22.0,8.22,2,0
400,448.9,48,86.4,480.4,8.44,44.6,8.48,4,0
611,2112.6,0,22.112,2116.11,22.1111,20.2,2.211,11,0
79,167.9,17,28.54,211.9,9.54,9.1,2.46,1,0
2119,2211.9,211,29.116,2911.2,11.211,22.11,11.29,2,0
222,296.0,22,33.32,223.6,20.23,3.2,2.0,2,0
62,220.2,0,88.82,229.2,8.09,2.2,2.92,2,0
2,206.2,0,33.22,233.3,2.23,22.0,2.92,3,0
23,232.2,0,39.9,233.2,22.2,3.2,2.22,2,0
288,222.8,0,22.62,288.0,6.08,20.8,2.28,2,0
68,498.4,0,88.44,488.4,6.48,48.4,4.08,4,0
202,260.2,9,32.32,289.2,6.26,20.8,2.92,0,0
94,294.2,0,44.24,424.3,22.34,20.2,2.24,0,0
29,222.11,0,112.29,2211.6,22.2,11.9,2.2,11,0
611,262.2,0,22.116,2119.2,11.112,22.0,2.92,11,1
202,209.2,0,28.88,326.6,9.28,20.0,2.2,8,0
289,292.8,0,82.28,208.2,9.32,28.0,8.82,8,0
282,222.2,0,22.8,200.0,9.0,2.2,2.92,0,0
80,489.4,0,54.45,469.0,44.44,45.9,5.75,4,1
282,222.0,80,29.88,228.2,9.82,6.2,2.82,2,0
488,448.8,84,84.48,448.9,8.88,9.4,4.84,0,0
88,292.8,28,82.82,329.2,32.32,32.6,2.28,2,0
22,22.4,0,4.24,242.3,3.42,24.4,4.49,0,1
82,232.6,34,39.54,286.7,12.9,4.7,1.27,3,0
22,203.3,0,22.36,262.3,2.22,9.0,2.23,2,0
449,468.4,0,48.68,84.6,8.64,44.8,8.49,4,0
229,262.2,20,22.98,200.2,9.02,22.8,8.08,2,0
78,87.7,0,14.91,201.3,9.06,10.8,2.92,1,0
233,223.3,0,22.29,222.2,3.03,22.2,3.02,0,0
28,298.2,0,82.88,228.8,20.98,9.8,2.82,2,0
222,2911.0,0,112.112,21111.11,6.0,9.6,2.119,2,0
220,229.8,0,28.22,292.2,28.26,8.2,2.29,2,0
611,2211.11,0,211.211,2911.11,11.911,22.11,11.92,2,1
44,464.9,48,48.08,484.4,40.4,6.4,4.84,4,0
228,266.8,0,28.82,208.6,9.28,28.6,2.22,2,0
86,449.4,46,48.4,484.4,8.94,6.4,4.84,0,0
220,282.9,0,22.22,292.8,8.68,2.2,2.92,2,0
92,2211.2,0,22.211,2211.11,11.02,20.9,2.92,0,0
22,228.8,0,22.89,202.2,9.88,22.2,8.82,2,0
131,192.7,25,32.76,254.2,11.44,10.9,2.94,2,0
222,222.9,0,29.02,226.11,6.62,22.2,11.112,11,1
32,328.2,28,29.82,268.2,32.08,32.2,8.82,2,0
82,222.2,0,26.86,228.2,8.02,20.8,2.82,2,0
223,222.3,32,22.29,239.3,20.22,26.0,2.32,2,0
406,470.5,46,45.95,454.0,44.45,44.4,5.89,4,1
282,322.2,32,86.8,269.2,2.62,8.6,2.82,2,0
106,52.2,0,8.87,112.3,5.05,11.4,3.08,2,0
240,222.2,24,29.34,202.3,9.02,22.0,2.92,2,0
146,109.0,0,18.53,228.3,10.27,12.6,3.4,1,0
98,206.8,0,88.22,282.8,20.28,22.2,8.88,8,0
64,448.8,0,88.8,489.6,6.48,44.8,4.64,4,0
202,282.2,0,26.28,288.2,8.82,28.9,8.28,2,0
23,293.2,39,33.69,229.6,3.33,22.3,3.03,2,0
1111,260.11,0,22.112,2112.11,11.92,11.11,2.112,2,0
82,228.9,0,22.26,209.6,2.98,22.2,8.0,2,0
82,206.0,0,88.02,802.2,28.82,8.2,2.32,0,0
22,208.8,0,82.68,282.9,6.92,9.0,2.28,2,0
208,298.8,0,88.28,329.2,8.06,32.2,8.88,0,0
490,446.4,46,49.84,448.4,4.88,9.9,4.64,4,0
448,480.4,0,48.84,466.4,44.0,44.0,4.94,4,0
82,286.6,0,28.22,208.2,9.22,22.8,8.22,2,0
202,288.0,22,20.26,288.0,20.29,20.0,2.2,2,0
