MonthsInService,MonthlyMinutes,BlockedCalls,DroppedCalls,CustomerCareCalls,RetentionCalls,IncomeGroup,CreditRating,CurrentEquipmentDays,HandsetRefurbished,Churn
8,613.0,3.3,1.0,0.0,0,6,3,220.0,0,0
12,1185.0,0.0,17.0,19.0,0,0,4,348.0,0,0
19,222.0,1.3,1.3,0.0,0,6,1,582.0,0,0
13,337.0,0.3,9.7,0.0,0,2,1,384.0,0,1
31,300.0,4.0,8.0,2.0,0,9,0,274.0,0,0
14,18.0,0.7,0.3,0.0,0,6,1,408.0,0,0
19,75.0,0.0,1.0,0.0,0,9,2,575.0,0,0
14,1027.0,0.0,13.0,2.3,0,0,4,334.0,0,0
13,470.0,2.0,11.0,0.0,0,0,3,409.0,0,1
12,417.0,21.0,7.7,0.0,0,5,1,358.0,0,0
11,0.0,0.0,0.0,0.0,0,0,3,317.0,0,0
14,487.0,0.0,3.3,0.0,0,0,4,110.0,0,0
21,409.0,2.3,5.0,0.0,0,0,1,638.0,0,0
11,131.0,0.0,3.0,0.0,0,6,0,307.0,0,0
33,556.0,1.7,8.7,1.3,0,7,6,112.0,1,0
21,300.0,0.3,1.7,0.0,0,7,1,33.0,0,0
18,209.0,0.7,3.7,0.0,0,4,1,536.0,0,0
15,0.0,0.0,0.0,0.0,0,0,4,430.0,0,0
11,157.0,0.0,0.3,1.3,0,5,2,310.0,0,1
13,1371.0,8.0,7.3,9.7,0,1,4,18.0,0,0
34,612.0,0.7,2.3,0.0,0,0,2,250.0,0,1
7,24.0,0.0,0.0,0.3,0,9,1,210.0,0,0
47,2008.0,21.3,8.7,0.3,0,6,0,179.0,1,0
15,244.0,0.0,1.0,1.0,0,6,2,152.0,1,1
10,158.0,2.7,5.3,0.0,0,6,1,80.0,0,1
17,381.0,0.7,3.3,0.0,0,6,0,522.0,0,1
9,1225.0,4.3,5.0,0.7,0,4,4,285.0,0,0
35,143.0,2.0,4.7,0.0,0,9,2,1041.0,0,0
23,1010.0,0.0,0.0,0.0,0,0,0,352.0,0,0
11,828.0,3.7,10.0,0.0,0,6,1,315.0,0,1
22,377.0,1.0,0.3,0.0,0,6,0,643.0,0,0
21,99.0,1.3,0.0,0.0,0,9,1,433.0,0,0
7,7.0,0.0,0.0,0.0,0,3,4,198.0,0,0
9,541.0,0.3,3.7,0.0,0,0,3,259.0,0,1
11,892.0,0.7,15.7,18.3,0,6,1,311.0,0,0
19,401.0,22.0,2.0,6.7,0,6,1,112.0,0,0
14,161.0,0.7,2.0,0.0,0,3,3,418.0,0,0
35,52.0,3.7,1.0,0.0,0,6,0,1052.0,0,0
17,1386.0,0.7,21.3,7.0,0,0,1,183.0,0,0
15,646.0,7.7,17.0,2.7,0,6,1,446.0,1,0
33,1388.0,13.7,4.3,0.3,0,1,0,54.0,0,1
20,398.0,2.3,38.0,2.3,0,8,1,594.0,0,1
19,486.0,1.7,9.0,3.7,0,5,3,470.0,0,0
16,64.0,0.3,1.0,0.7,0,6,1,492.0,0,0
25,3.0,0.3,0.0,0.0,0,6,1,746.0,0,1
35,1.0,0.0,0.0,0.0,0,5,2,1051.0,0,0
9,1158.0,0.7,11.7,5.3,0,0,4,254.0,0,1
21,164.0,1.3,0.3,0.7,0,6,1,630.0,1,0
22,66.0,0.0,0.7,0.0,0,7,1,654.0,0,0
13,450.0,0.0,4.7,0.0,0,0,0,218.0,0,0
31,611.0,3.0,5.0,1.3,0,0,2,936.0,0,0
18,842.0,0.7,0.7,0.3,0,4,0,500.0,0,1
8,359.0,0.0,0.0,0.0,0,4,2,249.0,0,0
16,1020.0,3.0,19.3,3.7,0,7,2,245.0,1,0
16,1067.0,0.7,8.3,24.0,0,0,6,81.0,0,0
27,471.0,1.0,4.3,0.0,0,6,1,119.0,1,0
8,509.0,1.0,13.0,1.7,0,7,1,39.0,0,0
12,712.0,1.0,8.0,0.0,0,4,1,353.0,0,0
11,362.0,6.0,8.7,0.0,0,6,1,342.0,0,1
15,88.0,0.0,0.7,0.0,0,5,1,431.0,0,0
10,1159.0,0.0,0.0,0.0,0,6,1,292.0,0,0
23,326.0,0.0,1.0,1.3,0,8,2,697.0,0,1
39,111.0,1.3,0.7,0.0,0,3,0,1181.0,0,0
44,662.0,4.7,50.0,0.7,0,5,0,650.0,1,0
15,39.0,0.0,0.0,0.0,0,7,1,448.0,0,1
8,1741.0,29.7,18.7,4.3,0,0,4,23.0,0,0
20,86.0,0.0,0.0,1.3,0,6,1,609.0,0,0
33,201.0,2.7,0.7,0.0,0,6,0,993.0,0,0
8,670.0,0.0,0.0,0.0,0,8,1,256.0,0,0
22,790.0,1.7,2.3,3.7,0,7,2,437.0,1,0
17,99.0,0.0,0.0,0.0,0,0,6,447.0,1,1
9,163.0,0.3,4.3,0.0,0,7,1,194.0,0,0
6,309.0,3.7,3.7,0.0,0,1,2,185.0,0,0
13,376.0,7.7,0.0,2.3,0,4,1,375.0,0,1
7,428.0,0.3,4.3,5.0,0,6,1,207.0,0,0
26,339.0,2.0,0.0,0.3,0,4,0,797.0,0,0
12,20.0,0.0,0.0,0.0,0,6,1,355.0,0,1
14,724.0,2.3,29.0,1.0,0,6,6,180.0,1,1
31,1344.0,28.7,7.7,3.3,0,5,4,927.0,0,0
22,36.0,2.0,1.3,0.0,0,3,1,665.0,0,0
11,259.0,4.0,11.7,0.0,0,5,1,41.0,0,1
7,732.0,0.0,8.0,0.0,0,0,3,206.0,0,0
11,1121.0,3.0,21.0,0.7,0,5,2,23.0,0,0
29,0.0,0.0,0.0,0.0,0,5,2,448.0,0,0
9,153.0,0.3,1.7,1.3,0,7,4,263.0,0,0
13,210.0,0.0,1.7,0.0,0,6,1,143.0,0,0
18,477.0,4.0,17.3,0.7,0,4,0,131.0,1,1
7,1012.0,5.7,8.0,0.0,0,0,1,203.0,0,0
10,47.0,4.7,2.7,0.0,0,7,1,288.0,0,1
22,132.0,1.0,0.7,0.0,0,3,1,644.0,0,0
13,3.0,0.0,0.0,0.0,1,6,2,386.0,0,1
51,1032.0,0.0,19.7,2.0,0,5,0,268.0,0,0
9,160.0,0.0,0.0,0.0,0,7,1,276.0,0,0
19,345.0,4.3,1.7,0.0,0,8,2,397.0,1,0
16,172.0,0.0,0.0,0.0,0,6,1,457.0,0,0
17,340.0,5.3,2.0,4.7,0,6,1,462.0,1,0
10,56.0,0.0,0.3,0.0,0,2,1,155.0,0,0
35,50.0,0.0,0.0,0.0,0,7,0,1049.0,0,0
9,301.0,10.3,5.7,0.0,0,0,3,245.0,0,0
15,324.0,0.0,5.0,0.0,0,9,1,25.0,0,0
20,353.0,4.3,3.3,0.3,0,1,4,586.0,0,0
23,455.0,0.0,6.0,0.0,0,9,1,692.0,0,0
32,446.0,3.7,1.3,0.0,0,6,0,1.0,1,0
42,148.0,0.7,0.0,0.0,0,3,0,1248.0,0,1
23,4.0,0.0,0.0,0.0,0,3,2,686.0,0,0
34,26.0,0.7,0.0,1.3,0,1,0,1023.0,0,0
47,116.0,0.0,0.0,0.0,0,5,3,366.0,0,1
9,412.0,0.0,8.7,0.3,0,2,1,282.0,0,0
11,1237.0,31.3,6.3,17.7,0,0,4,332.0,0,0
34,208.0,0.0,7.0,0.0,0,7,0,63.0,0,1
19,45.0,0.0,0.0,0.0,0,7,1,579.0,0,0
31,1699.0,8.7,15.0,1.3,0,9,4,199.0,1,1
23,463.0,0.7,5.3,0.3,0,9,1,672.0,0,0
28,30.0,0.0,0.3,0.0,0,6,3,832.0,0,1
38,34.0,0.0,0.0,0.0,0,6,0,589.0,0,0
8,564.0,5.3,14.7,0.0,0,0,2,238.0,0,1
25,375.0,1.3,1.0,0.0,0,7,0,746.0,0,1
25,239.0,2.7,1.0,1.7,0,0,2,262.0,0,0
11,592.0,1.3,10.0,0.3,0,7,6,322.0,0,1
18,40.0,0.0,2.3,1.0,0,9,1,527.0,0,0
8,115.0,0.0,0.0,0.0,0,6,1,242.0,0,0
11,221.0,1.3,1.0,0.0,1,5,4,238.0,0,1
7,649.0,3.7,7.3,0.7,0,6,2,205.0,0,0
25,1773.0,9.0,10.3,0.0,0,7,0,243.0,0,0
19,88.0,1.3,1.7,0.7,0,0,3,570.0,0,1
20,353.0,26.0,5.7,0.0,0,3,3,612.0,0,0
8,1030.0,10.3,13.7,2.3,0,0,2,247.0,0,0
8,454.0,39.3,6.0,2.0,0,0,4,214.0,0,0
55,37.0,0.0,0.0,0.0,0,9,0,1686.0,0,0
25,507.0,13.0,5.0,0.0,0,4,1,747.0,0,0
9,348.0,1.0,0.0,0.0,0,5,3,271.0,0,0
17,1110.0,20.7,5.7,11.0,0,0,4,140.0,0,1
7,308.0,1.3,1.7,0.0,0,0,3,208.0,0,0
8,132.0,0.0,4.0,1.3,0,6,1,253.0,0,0
12,2.0,0.0,0.0,0.0,0,5,2,365.0,0,1
16,3018.0,34.3,33.7,9.3,0,6,4,87.0,0,0
28,596.0,7.3,7.7,0.0,0,6,0,864.0,0,1
7,719.0,3.0,27.3,2.0,0,0,4,-2.0,1,0
29,207.0,0.7,1.3,1.3,0,7,1,861.0,0,0
11,116.0,1.7,7.3,0.0,0,7,1,348.0,0,0
11,598.0,3.7,11.3,9.7,0,4,1,332.0,0,1
7,727.0,0.7,24.7,6.0,0,0,2,184.0,0,0
29,140.0,0.7,2.0,0.3,0,7,0,642.0,0,0
21,58.0,0.0,0.0,0.0,0,8,1,619.0,0,0
19,488.0,0.0,6.7,0.0,0,9,1,550.0,0,1
12,184.0,0.3,2.0,0.0,0,0,2,367.0,0,1
8,642.0,9.0,27.7,1.7,0,0,2,231.0,1,0
35,126.0,0.0,0.7,0.0,0,9,0,1056.0,0,1
22,126.0,7.7,0.0,0.0,0,6,1,629.0,0,0
14,0.0,0.0,0.0,0.0,0,6,3,268.0,1,1
11,62.0,0.0,3.3,0.0,0,8,1,336.0,0,1
43,464.0,0.7,12.3,0.3,0,9,0,229.0,0,0
16,1596.0,27.0,7.7,6.7,0,0,4,80.0,0,0
25,974.0,1.7,10.3,3.7,0,5,2,225.0,0,0
20,1406.0,1.0,25.0,1.7,0,0,4,201.0,0,0
18,345.0,1.7,3.3,0.0,0,6,1,540.0,0,1
29,100.0,1.7,3.7,0.7,0,7,0,647.0,0,0
17,146.0,0.0,0.0,0.0,0,0,5,384.0,0,0
20,104.0,7.0,0.3,2.3,0,4,4,60.0,0,1
8,93.0,1.0,3.0,0.0,0,0,3,242.0,0,1
25,235.0,0.0,12.0,0.0,0,9,1,737.0,0,0
35,217.0,1.3,8.3,0.0,0,6,4,1069.0,0,1
11,1127.0,42.0,3.3,0.3,1,2,3,54.0,1,0
14,382.0,1.7,2.7,0.0,0,6,2,169.0,0,0
17,68.0,0.0,2.0,0.0,0,3,2,487.0,0,0
10,318.0,0.0,0.0,0.0,0,3,1,278.0,1,0
30,276.0,0.0,0.0,0.0,1,8,1,22.0,0,1
34,8.0,1.0,1.0,0.0,0,3,3,1027.0,0,0
17,422.0,0.3,17.3,0.0,0,5,1,29.0,0,0
8,508.0,0.7,4.7,0.0,0,3,2,213.0,0,1
29,382.0,2.3,10.0,0.0,0,6,0,878.0,0,1
14,147.0,10.0,1.3,0.0,0,4,1,425.0,0,1
7,98.0,3.0,3.3,1.3,0,0,3,211.0,1,0
33,261.0,1.7,1.3,0.0,0,7,0,1005.0,0,0
29,601.0,5.0,3.3,9.7,0,3,0,79.0,0,0
18,574.0,0.7,5.0,0.0,0,6,3,540.0,0,1
21,158.0,0.0,1.3,0.3,0,0,1,521.0,1,0
14,427.0,13.7,6.7,0.0,0,1,5,403.0,0,0
15,369.0,0.7,16.0,0.0,0,6,4,45.0,0,0
17,281.0,0.0,0.3,0.0,0,0,1,506.0,0,1
25,138.0,1.0,2.7,0.0,0,1,0,298.0,0,1
10,817.0,1.7,3.0,0.0,0,0,1,287.0,0,0
10,602.0,0.7,17.3,2.3,0,0,1,298.0,0,0
7,368.0,0.0,10.7,0.0,0,4,1,187.0,0,0
12,702.0,4.3,6.0,0.0,0,0,1,336.0,0,1
27,154.0,5.0,3.3,2.0,0,8,2,819.0,0,1
23,162.0,0.7,4.7,4.0,0,0,2,682.0,0,0
6,597.0,3.7,6.0,2.0,0,6,0,196.0,0,0
20,425.0,36.3,6.3,0.0,0,0,1,588.0,0,0
32,334.0,0.3,4.7,0.0,0,8,0,986.0,0,1
11,139.0,0.7,0.0,0.3,0,6,1,310.0,0,0
49,309.0,0.0,0.0,0.0,0,7,0,283.0,0,0
48,904.0,2.0,35.7,1.3,0,0,2,121.0,0,1
9,262.0,2.7,2.0,0.3,0,6,1,243.0,0,0
29,424.0,0.0,1.3,4.7,0,7,1,517.0,1,1
12,249.0,0.0,1.3,19.7,0,6,4,359.0,0,0
38,238.0,0.0,4.3,1.0,0,4,0,88.0,0,0
28,1010.0,1.0,7.0,6.0,0,0,5,412.0,0,0
33,752.0,16.3,9.7,0.3,1,4,3,984.0,0,0
38,180.0,0.0,2.0,0.0,0,6,0,655.0,0,0
22,1770.0,51.3,9.0,0.3,0,0,4,-3.0,0,1
8,68.0,1.0,1.3,0.0,0,4,1,233.0,0,0
19,183.0,0.0,1.7,0.0,0,3,1,572.0,0,1
22,240.0,6.3,1.7,1.0,1,3,1,351.0,0,0
17,1318.0,0.3,8.7,1.7,0,6,4,294.0,1,0
33,368.0,2.0,0.7,0.0,0,6,2,121.0,0,0
9,286.0,3.7,3.0,0.0,0,3,3,274.0,0,0
23,424.0,50.3,6.7,1.7,3,2,0,267.0,0,1
14,1030.0,10.0,4.7,0.0,0,6,0,429.0,0,1
8,122.0,0.0,0.0,0.0,0,6,3,232.0,0,0
14,746.0,1.3,8.0,0.0,0,8,1,222.0,0,0
12,1599.0,13.3,37.0,9.7,0,0,1,345.0,0,1
15,1432.0,6.7,2.0,0.3,0,0,1,467.0,0,0
16,1115.0,13.3,13.7,0.7,0,5,1,457.0,0,1
15,582.0,0.0,0.0,0.0,0,0,1,451.0,0,1
11,900.0,2.7,10.3,0.0,0,2,4,320.0,0,0
27,109.0,0.0,0.0,0.3,0,1,0,827.0,0,0
11,513.0,3.3,2.0,0.0,0,7,2,321.0,0,0
24,448.0,0.3,5.7,4.7,0,5,1,722.0,0,0
19,213.0,0.0,7.0,0.3,0,9,0,582.0,0,0
20,484.0,0.0,2.3,0.7,0,7,1,222.0,0,0
20,2075.0,0.3,10.3,0.0,0,0,1,597.0,0,1
30,123.0,4.7,0.0,0.0,0,6,0,907.0,0,1
11,101.0,0.3,0.3,0.0,0,7,1,328.0,0,0
17,30.0,0.0,1.7,0.0,0,9,1,8.0,0,1
16,957.0,0.3,7.3,0.7,0,9,1,470.0,0,0
56,46.0,0.0,1.3,0.0,0,6,0,857.0,1,0
13,53.0,0.0,0.0,0.0,0,0,3,394.0,0,1
22,456.0,5.7,1.3,0.0,0,6,1,46.0,0,0
11,476.0,0.3,1.0,0.0,0,0,6,349.0,0,0
28,1009.0,7.3,4.0,2.0,0,0,2,373.0,0,0
19,168.0,0.3,1.0,0.7,0,8,1,582.0,0,0
25,79.0,0.0,0.3,0.0,0,7,4,747.0,0,1
9,138.0,9.3,15.7,0.3,0,1,3,95.0,1,0
10,276.0,0.3,3.7,0.0,0,9,1,294.0,0,0
12,104.0,4.7,0.7,0.0,0,9,0,358.0,0,0
15,258.0,0.0,0.0,0.0,0,3,1,450.0,0,0
6,170.0,0.0,0.3,0.0,0,9,2,194.0,0,0
15,480.0,3.0,7.3,4.3,0,3,4,443.0,0,0
16,504.0,0.0,4.0,0.0,0,6,2,21.0,0,0
29,75.0,5.7,0.7,0.0,0,9,0,885.0,0,0
23,0.0,0.0,0.0,0.0,0,0,1,389.0,0,1
13,116.0,0.7,10.0,0.7,0,7,1,371.0,0,1
11,242.0,0.3,2.0,2.0,0,6,3,285.0,1,0
10,196.0,0.0,0.0,0.0,0,0,3,306.0,0,1
9,996.0,0.0,0.0,0.0,0,4,2,267.0,0,0
41,96.0,0.0,0.0,0.0,0,7,0,1241.0,0,1
14,940.0,57.0,16.7,3.7,0,1,3,125.0,0,1
34,270.0,6.7,4.3,1.7,0,7,3,49.0,0,0
13,108.0,2.3,2.3,0.3,0,7,2,18.0,0,0
14,216.0,0.0,0.7,0.0,0,6,1,405.0,0,0
24,518.0,0.0,2.0,0.0,0,0,0,672.0,0,0
19,262.0,1.0,0.7,2.3,0,9,1,566.0,0,0
12,496.0,5.7,4.7,2.7,0,9,1,360.0,0,1
33,214.0,0.7,1.3,0.0,0,6,0,978.0,0,1
10,161.0,1.3,2.0,0.7,0,9,1,197.0,1,0
35,689.0,0.3,10.3,0.0,0,1,0,142.0,1,0
13,367.0,0.7,4.3,1.3,0,6,1,371.0,0,0
25,30.0,0.0,0.0,0.0,0,3,1,745.0,0,0
18,780.0,0.0,20.7,5.0,0,7,3,227.0,0,0
7,243.0,0.3,1.3,0.0,0,9,1,220.0,0,1
24,180.0,0.0,1.0,0.3,0,9,1,119.0,0,0
20,84.0,0.3,0.3,0.3,0,0,4,579.0,0,1
8,683.0,1.3,5.3,0.0,0,6,1,229.0,0,0
9,513.0,87.3,4.0,14.3,0,0,3,277.0,0,0
15,1659.0,48.0,14.0,2.7,1,0,3,200.0,0,0
6,369.0,36.7,2.3,0.0,0,3,1,195.0,0,0
25,1482.0,2.0,15.0,28.3,1,4,0,224.0,0,0
9,228.0,0.0,3.3,1.7,0,0,3,261.0,0,0
12,458.0,0.3,3.7,0.3,0,9,0,265.0,0,0
14,182.0,0.0,0.0,0.0,0,6,1,401.0,0,0
27,1797.0,7.7,16.7,0.3,0,7,0,576.0,0,0
14,306.0,0.0,0.0,0.0,0,4,0,419.0,0,0
16,209.0,0.3,4.0,0.0,0,7,1,481.0,0,1
8,591.0,3.0,7.0,0.3,0,0,1,236.0,0,1
26,78.0,0.3,3.7,1.0,1,5,3,159.0,0,0
17,244.0,0.3,4.0,0.0,0,6,1,451.0,1,1
24,594.0,0.0,1.0,4.3,0,4,0,735.0,0,0
31,446.0,6.3,0.3,0.0,0,5,3,64.0,0,0
19,32.0,0.0,0.0,0.0,0,3,6,368.0,0,0
12,129.0,0.0,1.3,0.0,0,9,1,342.0,0,0
20,625.0,17.3,4.3,1.7,0,2,1,35.0,0,0
13,2056.0,110.3,7.3,4.3,0,9,1,382.0,0,0
30,210.0,0.0,6.3,0.0,0,4,0,905.0,0,0
8,1224.0,0.3,2.3,11.7,0,9,1,246.0,0,0
15,558.0,1.7,6.7,1.7,0,5,1,438.0,0,1
34,822.0,0.0,17.7,0.0,0,8,3,114.0,0,0
41,466.0,0.0,13.0,0.0,0,5,0,397.0,0,1
7,166.0,0.0,2.7,0.3,0,6,1,214.0,0,0
20,211.0,0.3,5.0,0.0,0,0,1,586.0,0,0
24,837.0,6.3,1.0,10.7,0,6,1,700.0,0,0
21,98.0,7.3,0.3,1.0,0,7,1,624.0,0,0
16,670.0,0.7,10.3,1.0,0,3,3,302.0,0,1
23,836.0,7.0,23.0,3.7,1,8,0,90.0,1,1
